date,ticker,value
2001-02-26,dow,10642.5302734375
2001-02-27,dow,10636.8798828125
2001-02-28,dow,10495.2802734375
2001-03-01,dow,10450.1396484375
2001-03-02,dow,10466.3095703125
2001-03-05,dow,10562.2998046875
2001-03-06,dow,10591.2197265625
2001-03-07,dow,10729.599609375
2001-03-08,dow,10858.25
2001-03-09,dow,10644.6201171875
2001-03-12,dow,10208.25
2001-03-13,dow,10290.7998046875
2001-03-14,dow,9973.4599609375
2001-03-15,dow,10031.2802734375
2001-03-16,dow,9823.41015625
2001-03-19,dow,9959.1103515625
2001-03-20,dow,9720.759765625
2001-03-21,dow,9487.0
2001-03-22,dow,9389.48046875
2001-03-23,dow,9504.7802734375
2001-03-26,dow,9687.5302734375
2001-03-27,dow,9947.5400390625
2001-03-28,dow,9785.349609375
2001-03-29,dow,9799.0595703125
2001-03-30,dow,9878.7802734375
2001-04-02,dow,9777.9296875
2001-04-03,dow,9485.7099609375
2001-04-04,dow,9515.419921875
2001-04-05,dow,9918.0498046875
2001-04-06,dow,9791.08984375
2001-04-09,dow,9845.150390625
2001-04-10,dow,10102.740234375
2001-04-11,dow,10013.4697265625
2001-04-12,dow,10126.9404296875
2001-04-16,dow,10158.5595703125
2001-04-17,dow,10216.73046875
2001-04-18,dow,10615.830078125
2001-04-19,dow,10693.7099609375
2001-04-20,dow,10579.849609375
2001-04-23,dow,10532.23046875
2001-04-24,dow,10454.33984375
2001-04-25,dow,10625.2001953125
2001-04-26,dow,10692.349609375
2001-04-27,dow,10810.0498046875
2001-04-30,dow,10734.9697265625
2001-05-01,dow,10898.33984375
2001-05-02,dow,10876.6796875
2001-05-03,dow,10796.650390625
2001-05-04,dow,10951.240234375
2001-05-07,dow,10935.169921875
2001-05-08,dow,10883.509765625
2001-05-09,dow,10866.98046875
2001-05-10,dow,10910.4404296875
2001-05-11,dow,10821.3095703125
2001-05-14,dow,10877.330078125
2001-05-15,dow,10872.9697265625
2001-05-16,dow,11215.919921875
2001-05-17,dow,11248.580078125
2001-05-18,dow,11301.740234375
2001-05-21,dow,11337.919921875
2001-05-22,dow,11257.240234375
2001-05-23,dow,11105.509765625
2001-05-24,dow,11122.419921875
2001-05-25,dow,11005.3701171875
2001-05-29,dow,11039.1396484375
2001-05-30,dow,10872.6396484375
2001-05-31,dow,10911.9404296875
2001-06-01,dow,10990.41015625
2001-06-04,dow,11061.51953125
2001-06-05,dow,11175.83984375
2001-06-06,dow,11070.240234375
2001-06-07,dow,11090.740234375
2001-06-08,dow,10977.0
2001-06-11,dow,10922.08984375
2001-06-12,dow,10948.3798828125
2001-06-13,dow,10871.6201171875
2001-06-14,dow,10690.1298828125
2001-06-15,dow,10623.6396484375
2001-06-18,dow,10645.3798828125
2001-06-19,dow,10596.669921875
2001-06-20,dow,10647.330078125
2001-06-21,dow,10715.4296875
2001-06-22,dow,10604.58984375
2001-06-25,dow,10504.2197265625
2001-06-26,dow,10472.48046875
2001-06-27,dow,10434.83984375
2001-06-28,dow,10566.2099609375
2001-06-29,dow,10502.400390625
2001-07-02,dow,10593.7197265625
2001-07-03,dow,10571.1103515625
2001-07-05,dow,10479.8603515625
2001-07-06,dow,10252.6796875
2001-07-09,dow,10299.400390625
2001-07-10,dow,10175.6396484375
2001-07-11,dow,10241.01953125
2001-07-12,dow,10478.990234375
2001-07-13,dow,10539.0595703125
2001-07-16,dow,10472.1201171875
2001-07-17,dow,10606.3896484375
2001-07-18,dow,10569.830078125
2001-07-19,dow,10610.0
2001-07-20,dow,10576.650390625
2001-07-23,dow,10424.419921875
2001-07-24,dow,10241.1201171875
2001-07-25,dow,10405.669921875
2001-07-26,dow,10455.6298828125
2001-07-27,dow,10416.669921875
2001-07-30,dow,10401.7197265625
2001-07-31,dow,10522.8095703125
2001-08-01,dow,10510.009765625
2001-08-02,dow,10551.1796875
2001-08-03,dow,10512.7802734375
2001-08-06,dow,10401.3095703125
2001-08-07,dow,10458.740234375
2001-08-08,dow,10293.5
2001-08-09,dow,10298.5595703125
2001-08-10,dow,10416.25
2001-08-13,dow,10415.91015625
2001-08-14,dow,10412.169921875
2001-08-15,dow,10345.9501953125
2001-08-16,dow,10392.51953125
2001-08-17,dow,10240.7802734375
2001-08-20,dow,10320.0703125
2001-08-21,dow,10174.1396484375
2001-08-22,dow,10276.900390625
2001-08-23,dow,10229.150390625
2001-08-24,dow,10423.169921875
2001-08-27,dow,10382.349609375
2001-08-28,dow,10222.0302734375
2001-08-29,dow,10090.900390625
2001-08-30,dow,9919.580078125
2001-08-31,dow,9949.75
2001-09-04,dow,9997.490234375
2001-09-05,dow,10033.26953125
2001-09-06,dow,9840.83984375
2001-09-07,dow,9605.849609375
2001-09-10,dow,9605.509765625
2001-09-17,dow,8920.7001953125
2001-09-18,dow,8903.400390625
2001-09-19,dow,8759.1298828125
2001-09-20,dow,8376.2099609375
2001-09-21,dow,8235.8095703125
2001-09-24,dow,8603.8603515625
2001-09-25,dow,8659.9697265625
2001-09-26,dow,8567.3896484375
2001-09-27,dow,8681.419921875
2001-09-28,dow,8847.5595703125
2001-10-01,dow,8836.830078125
2001-10-02,dow,8950.58984375
2001-10-03,dow,9123.7802734375
2001-10-04,dow,9060.8798828125
2001-10-05,dow,9119.76953125
2001-10-08,dow,9067.9404296875
2001-10-09,dow,9052.4404296875
2001-10-10,dow,9240.8603515625
2001-10-11,dow,9410.4501953125
2001-10-12,dow,9344.16015625
2001-10-15,dow,9347.6201171875
2001-10-16,dow,9384.23046875
2001-10-17,dow,9232.9697265625
2001-10-18,dow,9163.2197265625
2001-10-19,dow,9204.1103515625
2001-10-22,dow,9377.0302734375
2001-10-23,dow,9340.080078125
2001-10-24,dow,9345.6201171875
2001-10-25,dow,9462.900390625
2001-10-26,dow,9545.169921875
2001-10-29,dow,9269.5
2001-10-30,dow,9121.98046875
2001-10-31,dow,9075.1396484375
2001-11-01,dow,9263.900390625
2001-11-02,dow,9323.5400390625
2001-11-05,dow,9441.0302734375
2001-11-06,dow,9591.1201171875
2001-11-07,dow,9554.3701171875
2001-11-08,dow,9587.51953125
2001-11-09,dow,9608.0
2001-11-12,dow,9554.3701171875
2001-11-13,dow,9750.9501953125
2001-11-14,dow,9823.6103515625
2001-11-15,dow,9872.3896484375
2001-11-16,dow,9866.990234375
2001-11-19,dow,9976.4599609375
2001-11-20,dow,9901.3798828125
2001-11-21,dow,9834.6796875
2001-11-23,dow,9959.7099609375
2001-11-26,dow,9982.75
2001-11-27,dow,9872.599609375
2001-11-28,dow,9711.8603515625
2001-11-29,dow,9829.419921875
2001-11-30,dow,9851.5595703125
2001-12-03,dow,9763.9599609375
2001-12-04,dow,9893.83984375
2001-12-05,dow,10114.2900390625
2001-12-06,dow,10099.1396484375
2001-12-07,dow,10049.4599609375
2001-12-10,dow,9921.4501953125
2001-12-11,dow,9888.3701171875
2001-12-12,dow,9894.8095703125
2001-12-13,dow,9766.4501953125
2001-12-14,dow,9811.150390625
2001-12-17,dow,9891.9697265625
2001-12-18,dow,9998.3896484375
2001-12-19,dow,10070.490234375
2001-12-20,dow,9985.1796875
2001-12-21,dow,10035.33984375
2001-12-24,dow,10035.33984375
2001-12-26,dow,10088.1396484375
2001-12-27,dow,10131.3095703125
2001-12-28,dow,10136.990234375
2001-12-31,dow,10021.5703125
2002-01-02,dow,10073.400390625
2002-01-03,dow,10172.1396484375
2002-01-04,dow,10259.740234375
2002-01-07,dow,10197.0498046875
2002-01-08,dow,10150.5498046875
2002-01-09,dow,10094.08984375
2002-01-10,dow,10067.8603515625
2002-01-11,dow,9987.5302734375
2002-01-14,dow,9891.419921875
2002-01-15,dow,9924.150390625
2002-01-16,dow,9712.26953125
2002-01-17,dow,9850.0400390625
2002-01-18,dow,9771.849609375
2002-01-22,dow,9713.7998046875
2002-01-23,dow,9730.9599609375
2002-01-24,dow,9796.0703125
2002-01-25,dow,9840.080078125
2002-01-28,dow,9865.75
2002-01-29,dow,9618.240234375
2002-01-30,dow,9762.8603515625
2002-01-31,dow,9920.0
2002-02-01,dow,9907.259765625
2002-02-04,dow,9687.08984375
2002-02-05,dow,9685.4296875
2002-02-06,dow,9653.3896484375
2002-02-07,dow,9625.4404296875
2002-02-08,dow,9744.240234375
2002-02-11,dow,9884.7802734375
2002-02-12,dow,9863.740234375
2002-02-13,dow,9989.669921875
2002-02-14,dow,10001.990234375
2002-02-15,dow,9903.0400390625
2002-02-19,dow,9745.1396484375
2002-02-20,dow,9941.169921875
